Serial,Movie,Genres,Director,Year
1,Godzilla Resurgence ,Action|Adventure|Drama|Horror|Sci-Fi,Hideaki Anno,2016
2,Godzilla Resurgence ,Action|Adventure|Drama|Horror|Sci-Fi,Hideaki Anno,2016
3,Evolution ,Drama|Horror|Mystery|Sci-Fi,Lucile Hadzihalilovic,2015
4,Goosebumps ,Adventure|Comedy|Family|Fantasy|Horror,Rob Letterman,2015
5,Dracula Untold ,Action|Drama|Fantasy|Horror|War,Gary Shore,2014
6,World War Z ,Action|Adventure|Horror|Sci-Fi|Thriller,Marc Forster,2013
7,The Mortal Instruments: City of Bones ,Fantasy|Horror|Mystery|Romance,Harald Zwart,2013
8,Hansel & Gretel: Witch Hunters ,Action|Fantasy|Horror,Tommy Wirkola,2013
9,Dark Shadows ,Comedy|Fantasy|Horror,Tim Burton,2012
10,Underworld: Awakening ,Action|Fantasy|Horror,Måns Mårlind,2012
11,Abraham Lincoln: Vampire Hunter ,Action|Fantasy|Horror,Timur Bekmambetov,2012
12,Resident Evil: Retribution ,Action|Horror|Sci-Fi|Thriller,Paul W.S. Anderson,2012
13,Priest ,Action|Fantasy|Horror|Sci-Fi|Thriller,Scott Stewart,2011
14,The Wolfman ,Drama|Fantasy|Horror|Thriller,Joe Johnston,2010
15,Resident Evil: Afterlife ,Action|Adventure|Horror|Sci-Fi,Paul W.S. Anderson,2010
16,Carriers ,Drama|Horror|Sci-Fi|Thriller,David Pastor,2009
17,The Mummy: Tomb of the Dragon Emperor ,Action|Adventure|Fantasy|Horror|Thriller,Rob Cohen,2008
18,Hellboy II: The Golden Army ,Action|Adventure|Fantasy|Horror|Sci-Fi,Guillermo del Toro,2008
19,I Am Legend ,Drama|Horror|Sci-Fi,Francis Lawrence,2007
20,Grindhouse ,Action|Horror|Thriller,Robert Rodriguez,2007
